work,verbs,articles,nouns,pronouns,adjectives,prepositions,particles,conjunctions,unknowns,adverbs,propers,interjections
B,0.1415929204,0.1415929204,0.1238938053,0.0619469027,0.1504424779,0.0707964602,0.0707964602,0.0707964602,0.0530973451,0.0796460177,0.0353982301,0
B,0.1630434783,0.1304347826,0.1739130435,0.0326086957,0.1086956522,0.0869565217,0.1304347826,0.0652173913,0.0326086957,0.0326086957,0.0434782609,0
B,0.1694915254,0.1016949153,0.0847457627,0.0338983051,0.1186440678,0.0677966102,0.0847457627,0.1694915254,0.0338983051,0.0508474576,0.0847457627,0
B,0.2631578947,0.1052631579,0.1052631579,0.2105263158,0,0.1052631579,0.1052631579,0.052631579,0,0.052631579,0,0
B,0.2857142857,0.1428571429,0,0,0,0,0.2142857143,0.0714285714,0.0714285714,0.1428571429,0.0714285714,0
B,0.3636363636,0.0909090909,0,0,0.0909090909,0,0.1818181818,0,0,0.2727272727,0,0
B,0.1935483871,0.2580645161,0.1612903226,0.064516129,0.0967741936,0.0322580645,0,0.0322580645,0.064516129,0.0967741936,0,0
B,0.2,0.275,0.15,0.05,0.1,0.05,0.075,0.025,0.025,0.05,0,0
B,0.1428571429,0.2142857143,0.2142857143,0.0535714286,0.1071428571,0.0714285714,0.0535714286,0.0535714286,0.0178571429,0.0178571429,0.0535714286,0
B,0.1379310345,0.2413793103,0.1379310345,0.0689655172,0.2068965517,0.0689655172,0.0344827586,0.1034482759,0,0,0,0
B,0.1818181818,0.0909090909,0.0909090909,0,0.1818181818,0.1363636364,0.1818181818,0.0454545455,0.0454545455,0.0454545455,0,0
B,0.1538461538,0.1538461538,0.2307692308,0,0.0769230769,0.2307692308,0.0769230769,0,0,0,0.0769230769,0
B,0.2,0,0.1,0.2,0.3,0,0,0.2,0,0,0,0
B,0.1666666667,0.2222222222,0.2777777778,0.0555555556,0.0555555556,0,0.1666666667,0.0555555556,0,0,0,0
B,0.2051282051,0.1282051282,0.1794871795,0.1538461538,0.0769230769,0.0512820513,0.1025641026,0.0512820513,0,0.0256410256,0.0256410256,0
B,0.1333333333,0.1333333333,0.1333333333,0.0666666667,0.0666666667,0.0666666667,0.0666666667,0.0666666667,0,0.1333333333,0.1333333333,0
B,0.1538461538,0.2307692308,0.0769230769,0.0769230769,0.2307692308,0.0769230769,0.0769230769,0.0769230769,0,0,0,0
B,0.2916666667,0.2083333333,0.0833333333,0.0416666667,0.0833333333,0.0833333333,0.0416666667,0.0833333333,0,0.0833333333,0,0
B,0.15,0.25,0.2,0.05,0.1,0.05,0.1,0.1,0,0,0,0
B,0.0909090909,0.2272727273,0.1818181818,0,0.2272727273,0.0454545455,0.0454545455,0.0909090909,0,0.0909090909,0,0
B,0.1176470588,0.1176470588,0.1764705882,0.0588235294,0.1176470588,0,0.1176470588,0.1176470588,0.0588235294,0.0588235294,0.0588235294,0
B,0.2045454545,0.2045454545,0.1590909091,0,0.1363636364,0.0681818182,0.0909090909,0.0909090909,0,0.0454545455,0,0
B,0.1666666667,0.1666666667,0.0833333333,0.0833333333,0.0833333333,0.1666666667,0.0833333333,0.0833333333,0,0,0.0833333333,0
B,0.2105263158,0.0877192983,0.052631579,0.0701754386,0.1578947368,0.0350877193,0.0877192983,0.1578947368,0,0.0701754386,0.0701754386,0
